geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
2,01,Alabama,335,1.04575722454876,31.37,0.55446776131318,66.67
2,02,Alaska,226,0.887267290226266,17.65,-3.33900218210837,54.9
2,04,Arizona,316,1.9851110032002,84.31,-8.26425211066255,39.22
2,05,Arkansas,347,0.679979654405806,13.73,9.49234301398196,90.2
2,06,California,337,2.31044877128191,94.12,-26.3218934887083,3.92
2,08,Colorado,353,1.74287186154968,64.71,-2.6879916428364,56.86
2,09,Connecticut,301,2.31269177099587,96.08,-23.3642384836084,7.84
2,10,Delaware,220,1.77296864227041,66.67,-9.11796049735944,33.33
2,11,District of Columbia,114,2.45638648318632,100,0.118998124701597,64.71
2,12,Florida,371,1.88046108736684,76.47,-12.6448165678345,25.49
2,13,Georgia,373,1.64076780001682,58.82,-8.29408969456344,37.25
2,15,Hawaii,220,1.82964290062124,72.55,-11.039721401292,29.41
2,16,Idaho,344,0.908729464682957,21.57,13.9100494148506,98.04
2,17,Illinois,418,2.13613547743419,88.24,-18.5965395454005,13.73
2,18,Indiana,389,1.34972280481814,39.22,-6.07972445232959,47.06
2,19,Iowa,303,0.74572598765214,15.69,4.50477076677843,78.43
2,20,Kansas,281,1.04348247791906,29.41,3.96999150799993,74.51
2,21,Kentucky,357,1.30668839173594,37.25,-0.431808531876189,60.78
2,22,Louisiana,301,1.08755859538443,33.33,6.95310460562499,86.27
2,23,Maine,275,1.03150311330187,27.45,-4.16237989960926,50.98
2,24,Maryland,257,1.88680355641886,78.43,-13.7689334475327,19.61
2,25,Massachusetts,307,2.40549984056764,98.04,-24.0802792734465,5.88
2,26,Michigan,373,1.68521601596281,60.78,-6.84489390104527,43.14
2,27,Minnesota,354,1.64016730756995,56.86,2.23319464916928,70.59
2,28,Mississippi,294,0.459405616686429,7.84,-0.235991962811345,62.75
2,29,Missouri,372,1.41127052385403,41.18,6.45536171821646,82.35
2,30,Montana,316,0.578822354208024,9.8,22.0681578135747,100
2,31,Nebraska,271,0.924172937683234,23.53,7.5204454974061,88.24
2,32,Nevada,250,1.89267949155241,80.39,-10.4458971558017,31.37
2,33,New Hampshire,334,1.71122529120404,62.75,-19.204153990991,11.76
2,34,New Jersey,347,2.2541873174421,92.16,-28.2361199062009,1.96
2,35,New Mexico,243,0.992671038666235,25.49,6.73633270136615,84.31
2,36,New York,287,2.18925242751136,90.2,-20.6698266438444,9.8
2,37,North Carolina,353,1.55697470403907,47.06,-4.4505891668708,49.02
2,38,North Dakota,229,0.374970134546304,3.92,6.17541946935162,80.39
2,39,Ohio,396,1.79604649864022,70.59,-16.1216787291191,15.69
2,40,Oklahoma,283,0.894922312160558,19.61,11.0157357394148,94.12
2,41,Oregon,343,1.52816989055698,45.1,4.48662376890246,76.47
2,42,Pennsylvania,399,1.83182221344321,74.51,-14.0257468383562,17.65
2,44,Rhode Island,272,1.99435523365541,86.27,-13.0498763694656,23.53
2,45,South Carolina,380,1.43844937321053,43.14,-6.81114859338133,45.1
2,46,South Dakota,281,0.414369653570813,5.88,10.9737285909946,92.16
2,47,Tennessee,383,1.59861825641441,52.94,-8.98221331461813,35.29
2,48,Texas,363,1.56403872259033,49.02,11.6820926338841,96.08
2,49,Utah,392,1.90752562999886,82.35,-8.21938667960616,41.18
2,50,Vermont,291,1.18628516553807,35.29,-3.96571355282632,52.94
2,51,Virginia,258,1.61456942266423,54.9,-13.6088471255184,21.57
2,53,Washington,290,1.78312906117912,68.63,1.35416782104408,68.63
2,54,West Virginia,252,0.615834658587412,11.76,-2.42875164311604,58.82
2,55,Wisconsin,388,1.56488195357149,50.98,-12.1105065858164,27.45
2,56,Wyoming,231,0.198909101401521,1.96,3.50479189913603,72.55
